Rest Area Type	Name	Description	Location	Accessible From	X Coord	Y Coord	Responsible Authority	Facilities
Light Vehicle Rest Area	Long Paddock Visitors Site	"COBB HIGHWAY, MOAMA"	27km from Echuca (VIC) and  49km to Deniliquin	Northbound	-35.93408	144.89815	Other	
Light Vehicle Rest Area		"JINGELLIC-GILMORE RD, JINGELLIC"	0km from Jingellic and 43 km to Tumbarumba	Both Directions	-35.92589	147.698	Other	"Picnic Tables, Playground, Litter Bins"
Heavy and Light Vehicle Rest Area	Sawyers Hill Kiandra	"SNOWY MOUNTAINS HIGHWAY, KIANDRA"	81km West of Cooma	Both Directions	-35.89595	148.54046	National Parks and Wildlife Service	"Toilets, Shelter, Picnic Tables, Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Mullengandra Rest Area	"HUME HIGHWAY, NR WOOMARGAMA"	141km from Gundagai and  39km to Albury	Southbound	-35.89343	147.16953	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Waldron Swamp Rest Area S/B	"PRINCES HIGHWAY, MORUYA"	20km South of Batemans Bay	Both Directions	-35.86492	150.1195	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Rest Area Broulee Rd N/B	"PRINCES HIGHWAY, MOGO"	17km South of Batemans Bay	Both Directions	-35.84486	150.1309	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Blue Metal Rest Area	"HUME HIGHWAY, NR WOOMARGAMA"	134km from Gundagai and  46km to Albury	Southbound	-35.84447	147.19783	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Four Mile Creek Rest Area	"HUME HIGHWAY, NR WOOMARGAMA"	134km from Gundagai and  46km to Albury	Westbound	-35.83944	147.2031	Roads and Maritime Services	"Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Collinton Rest Area N/B	"MONARO HIGHWAY, BREDBO"	47km North of Cooma	Both Directions	-35.83796	149.16141	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	Gerogery Rest Area	"OLYMPIC HIGHWAY, TABLE TOP"	30km from Albury and  19km to Culcairn	Both Directions	-35.83592	146.99472	Council	"Toilets, Shelter, Picnic Tables, BBQ Facilities, Playground, Litter Bins"
Heavy and Light Vehicle Rest Area	Lowesdale Rest Area	"RIVERINA HIGHWAY, COROWA"	68km from Albury and  78km to Finley	Both Directions	-35.81462	146.35716	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	Mathoura Rest Area	"MOAMA ST, MATHOURA"	41km from Echuca (VIC) and  35km to Deniliquin	Westbound	-35.81192	144.90219	Roads and Maritime Services	"Toilets, Picnic Tables, Litter Bins"
Light Vehicle Rest Area		"LINDEN ROTH DRIVE, TUMBARUMBA"	37km from Jingellic and  7km to Tumbarumba	Both Directions	-35.77965	147.94379	Other	"Toilets, Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area		"HUME HIGHWAY, NR HOLBROOK"	109km from Gundagai and  71km to Albury	Westbound	-35.6818	147.36277	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Jubilee Park	"OLYMPIC HIGHWAY, CULCAIRN"	49km from Albury and 0km to Culcairn	Westbound	-35.672	147.0361	Council	"Toilets, Shelter, Picnic Tables, BBQ Facilities, Playground, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area		"TUMBARUMBA-LITTLE BILLABONG, CARABOST"	20km from Tumbarumba and  89km to Wagga Wagga	Both Directions	-35.67028	147.86408	Other	"Toilets, Shelter, Picnic Tables, Playground, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	Eric Thomas Park	"MELVILLE ST, CULCAIRN"	0km from Culcairn and 77km to Wagga Wagga	Both Directions	-35.66648	147.03889	Council	"Picnic Tables, Playground, Litter Bins"
Heavy and Light Vehicle Rest Area	Garryowen	"HUME HIGHWAY, NR HOLBROOK"	100km from Gundagai and  79km to Albury	Southbound	-35.65675	147.43543	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Yarrangobilly River Rest Area	"SNOWY MOUNTAINS HIGHWAY, RULES POINT"	118km from Cooma and  63km to Tumut	Both Directions	-35.65233	148.46303	Roads and Maritime Services	"Toilets, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Yarrangobilly River Rest Area	"SNOWY MOUNTAINS HIGHWAY, RULES POINT"	118km from Cooma and  63km to Tumut	Both Directions	-35.65232	148.46303	Roads and Maritime Services	"Picnic Tables, Litter Bins"
Light Vehicle Rest Area	May Lawson Wayside Rest Area	"MURRAY ST, FINLEY"	20km from Tocumwal  and  1km to Finley	Both Directions	-35.65025	145.57281	Council	"Toilets, Shelter, Picnic Tables, Playground, Litter Bins"
Light Vehicle Rest Area	McAllister Park	"RIVERINA HIGHWAY, FINLEY"		Southbound	-35.63388	145.5746	Other	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	Lochinvar Forest Park	"JINGELLIC-GILMORE RD, LAUREL HILL"	22km from Tumbarumba and 47Kkm to Tumut	Northbound	-35.60995	148.09305	National Parks and Wildlife Service	"Toilets, Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Kioala Rest Area S/B	"PRINCES HIGHWAY, EAST LYNNE"	37km South of Nowra	Both Directions	-35.60048	150.25522	State Forests	"Shelter, Picnic Tables, "
Heavy and Light Vehicle Rest Area	LITTLE BILLABONG REST AREA	"HUME HIGHWAY, NR HOLBROOK"	91km from Gundagai and  89km to Albury	Both Directions	-35.60009	147.51069	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	Black Perry Lookout	"SNOWY MOUNTAINS HIGHWAY, TALBINGO"	135km from Cooma and 46km to Tumut	Both Directions	-35.59461	148.35626	National Parks and Wildlife Service	
Heavy and Light Vehicle Rest Area	The Henty Man Rest Area	"OLYMPIC HIGHWAY, CULCAIRN"	10km from Culcairn and  67km to Wagga Wagga	Both Directions	-35.57921	147.04068	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Tongaboo Rest Area - Northbound	"NEWELL HIGHWAY, FINLEY"	8km from Finley and  27km to Jerilderie	Both Directions	-35.57695	145.6105	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	North Billabong	"HUME HIGHWAY, NR TARCUTTA"	87km from Gundagai and  92km to Albury	Northbound	-35.57632	147.53347	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Tongaboo- Rest Area - Southbound	"NEWELL HIGHWAY, FINLEY"	8km from Finley and  27km to Jerilderie	Both Directions	-35.57326	145.61559	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	"Windy CNR ""Birganbigal"""	"RIVERINA HIGHWAY, DENILIQUIN"	42km from Finley and 17km to Deniliquin	Both Directions	-35.57117	145.12656	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Deniliquin Information Bay	"OCHTERTYRE ST, DENILIQUIN"	72km from Echuca(VIC) and 4km to Deniliquin	Both Directions	-35.55035	144.95769	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area		"JINGELLIC-GILMORE RD, LAUREL HILL"	36km from Tumbarumba and  33km to Tumut	Both Directions	-35.53284	148.1404	Other	Litter Bins
Light Vehicle Rest Area	White Gate Rest Area.	"JINGELLIC-GILMORE RD, LAUREL HILL"	31km from Tumbarumba and  38km to Tumut	Both Directions	-35.53283	148.09968	Other	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Deni Rest Area	"DAVIDSON ST, DENILIQUIN"	1km from Deniliquin and 121km to Hay	Both Directions	-35.52487	144.97775	Other	"Toilets, Shelter, Picnic Tables, BBQ Facilities, Litter Bins"
Light Vehicle Rest Area	Bicenteninal Park Rest Area	"RAILWAY PDE, HENTY"	17km from Culcairn and  61km to Wagga Wagga	Both Directions	-35.51924	147.03613	Council	"Toilets, Shelter, Picnic Tables, BBQ Facilities, Playground, Litter Bins"
Light Vehicle Rest Area	Reedy Creek Rest Area	"JINGELLIC-GILMORE RD, BATLOW"	38km from Tumbarumba and  31km to Tumut	Both Directions	-35.51659	148.14536	Other	"Emergency Phone, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Kyeamba Gap	"HUME HIGHWAY, KYEAMBA"	79km from Gundagai and 101km to Albury	Southbound	-35.50582	147.56427	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Kyeamba Gap East Rest Area	"HUME HIGHWAY, NR TARCUTTA"	79km from Gundagai and 101km to Albury	Northbound	-35.50558	147.56447	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Termeil Information Bay	"PRINCES HIGHWAY, TABOURIE LAKE"	32km North of Batemans Bay	Northbound	-35.48479	150.33916	Council	Shelter
Light Vehicle Rest Area		"JINGELLIC-GILMORE RD, BATLOW"	43km from Tumbarumba and  26km to Tumut	Both Directions	-35.47123	148.14733	Other	"Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Termeil Creek S/B	"PRINCES HIGHWAY, TABOURIE LAKE"	15km South of Ulladulla	Both Directions	-35.45844	150.3713	National Parks and Wildlife Service	Picnic Tables
Heavy and Light Vehicle Rest Area	Holmwood	"COBB HIGHWAY, DENILIQUIN"	12km from Deniliquin and 110km to Hay	Both Directions	-35.44287	144.91747	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	McPhersons Lane	"NEWELL HIGHWAY, NR JERILDERIE"	27km from Finley and  8km to Jerilderie	Both Directions	-35.41747	145.69084	Roads and Maritime Services	"Picnic Tables, Litter Bins"
Load Checking Area	Glenburn	"HUME HIGHWAY, NR TARCUTTA"	63km from Gundagai and 116km to Albury	Southbound	-35.39436	147.65951	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	"Burrill Lake, Lions Park"	"PRINCES HIGHWAY, BURRILL LAKE"	At Burrill Lake	Northbound	-35.38918	150.44441	Council	"Toilets, Shelter, Picnic Tables, BBQ Facilities, Litter Bins"
Light Vehicle Rest Area		"HUME HIGHWAY, NR TARCUTTA"	58km from Gundagai and 122km to Albury	Northbound	-35.35381	147.6518	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Light Vehicle Rest Area		"NEWELL HIGHWAY, JERILDERIE"	3km from Jerilderie and 106km to Narrandera	Both Directions	-35.35193	145.75321	Roads and Maritime Services	"Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Warri Rest Area Shoalhaven River W/B	"BATEMANS BAY-QUEANBEYAN RD, BRAIDWOOD"	13km West of Braidwood	Both Directions	-35.34333	149.73705	Other	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Load Checking Area		"HUME HIGHWAY, NR TARCUTTA"	56km from Gundagai and 124km to Albury	Northbound	-35.3373	147.64716	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Willawa Rest Area - Northbound	"NEWELL HIGHWAY, JERILDERIE"	7km from Jerilderie and 102km to Narrandera	Both Directions	-35.32195	145.77496	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Load Checking Area		"HUME HIGHWAY, NR TARCUTTA"	53km from Gundagai and 126km to Albury	Westbound	-35.31702	147.6599	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area		"SNOWY MOUNTAINS HIGHWAY, ADELONG"	24km from Tumut and  77km to Wagga Wagga	Both Directions	-35.3122	148.02769	Roads and Maritime Services	"Picnic Tables, Litter Bins"
Light Vehicle Rest Area	Carlton Dr Brooks Hill Res Bungendore	"BATEMANS BAY-QUEANBEYAN RD, BUNGENDORE"	7km West of Bungendore	Both Directions	-35.31062	149.40545	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Heavy and Light Vehicle Rest Area	Willawa Rest Area - Southbound	"NEWELL HIGHWAY, JERILDERIE"	9km from Jerilderie and 100km to Narrandera	Both Directions	-35.31025	145.79058	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Wanganella	"COBB HIGHWAY, WANGANELLA"	40km from Deniliquin and  82km to Hay	Both Directions	-35.21877	144.81657	Roads and Maritime Services	Litter Bins
Load Checking Area	Truck Parking Cutting LHS	"STURT HIGHWAY, NR TARCUTTA"	37km from Gundagai and  44km to Wagga Wagga	Both Directions	-35.21796	147.78943	Roads and Maritime Services	Litter Bins
Load Checking Area	Truck Parking Cutting RHS	"STURT HIGHWAY, NR TARCUTTA"	37km from Gundagai and  44km to Wagga Wagga	Northbound	-35.21796	147.78943	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Truck Park 1.2km West of SH2	"STURT HIGHWAY, NR TARCUTTA"	38km from Gundagai and  43km to Wagga Wagga	Both Directions	-35.21775	147.77866	Roads and Maritime Services	Litter Bins
Load Checking Area	Wagga Hill	"HUME HIGHWAY, NR TARCUTTA"	34km from Gundagai and 146km to Albury	Southbound	-35.20986	147.81276	Roads and Maritime Services	Litter Bins
Light Vehicle Rest Area	Uranquinty Rest Area	"MORGAN ST, URANQUINTY"	61km from Culcairn and 16km to Wagga Wagga	Eastbound	-35.1932	147.24572	Council	"Toilets, Shelter, Picnic Tables, BBQ Facilities, Playground, Litter Bins"
Heavy and Light Vehicle Rest Area	Truck Park Near Tarcutta Creek	"STURT HIGHWAY, NR TARCUTTA"	43km from Gundagai and  38km to Wagga Wagga	Both Directions	-35.18676	147.74402	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Load Checking Area	Deltroit	"HUME HIGHWAY, NR TARCUTTA"	30km from Gundagai and 149km to Albury	Eastbound	-35.17961	147.82624	Roads and Maritime Services	"Emergency Phone, Litter Bins"
Heavy and Light Vehicle Rest Area	Truck Stopping Area Yass River	"FEDERAL HIGHWAY, SUTTON"	69km South of Goulburn	Eastbound	-35.17645	149.28437	Roads and Maritime Services	
Heavy and Light Vehicle Rest Area	Truck Stopping Area Donnellys	"FEDERAL HIGHWAY, SUTTON"	66km South of Goulburn	Eastbound	-35.16559	149.30866	Roads and Maritime Services	
Heavy and Light Vehicle Rest Area	Rest Area 2km West of Borambola Rd Nth	"STURT HIGHWAY, LOWER TARCUTTA"	60km from Gundagai and  21km to Wagga Wagga	Both Directions	-35.16144	147.58237	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Truck Stopping Area Donnellys N/B	"FEDERAL HIGHWAY, SUTTON"	24km North of Canberra	Westbound	-35.16032	149.31846	Roads and Maritime Services	
Heavy and Light Vehicle Rest Area	Truck Park 2km West of Borambola Sth Rd	"STURT HIGHWAY, LOWER TARCUTTA"	63km from Gundagai and 19km to Wagga Wagga	Both Directions	-35.16011	147.55423	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Truck Park 2km West of Borambola Sth Rd	"STURT HIGHWAY, LOWER TARCUTTA"	63km from Gundagai and 18km to Wagga Wagga	Both Directions	-35.15922	147.55274	Roads and Maritime Services	Litter Bins
Heavy and Light Vehicle Rest Area	Ben Hall Park	"BARTON HIGHWAY, NR CANBERRA"	16km from Canberra and  41km to near Yass	Both Directions	-35.15781	149.06132	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Bundure Rest Area	"NEWELL HIGHWAY, NR JERILDERIE"	39km from Jerilderie and  69km to Narrandera	Both Directions	-35.15052	146.01023	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins,Wheelchair Accessible"
Light Vehicle Rest Area	Table and Chairs N/B	"PRINCES HIGHWAY, WANDANDIAN"	37km South of Nowra	Both Directions	-35.14597	150.46102	Roads and Maritime Services	"Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Jerrawangala Rest Area S/B	"PRINCES HIGHWAY, WANDANDIAN"	37km South of Nowra	Both Directions	-35.14528	150.46083	Roads and Maritime Services	"Toilets, Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Newton VC Rest Area	"FEDERAL HIGHWAY, SUTTON"	63km South of Goulburn	Northbound	-35.1434	149.33436	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Heavy and Light Vehicle Rest Area	Middleton VC Rest Area	"FEDERAL HIGHWAY, SUTTON"	26km North of Canberra	Southbound	-35.14329	149.33405	Roads and Maritime Services	"Shelter, Picnic Tables, Litter Bins"
Load Checking Area	Yellow Creek	"HUME HIGHWAY, TUMBLONG"	16km from Gundagai and 164km to Albury	Westbound	-35.14302	147.96237	Roads and Maritime Services	Litter Bins
